-1.905404203644598056e+02,9.324740082190930979e-01,6.332118312833510260e-04
-6.635659828611903777e+01,9.324747521964902308e-01,6.346599668417234183e-04
4.830918450667638808e+01,9.324754852978052178e-01,6.360984767672360225e-04
1.534569280139262446e+02,9.324762075230378366e-01,6.375273610598889470e-04
2.490866322356309865e+02,9.324769188721883095e-01,6.389466197196820834e-04
3.351982971717900455e+02,9.324776193452564144e-01,6.403562527466153233e-04
4.117919228224036488e+02,9.324783089422423732e-01,6.417562601406887751e-04
4.788675091874720238e+02,9.324789876631460750e-01,6.431466419019025473e-04
5.364250562669944884e+02,9.324796555079676308e-01,6.445273980302564229e-04
5.844645640609719521e+02,9.324803124767068185e-01,6.458985285257505104e-04
6.229860325694044150e+02,9.324809585693638603e-01,6.472600333883848098e-04
6.519894617922907400e+02,9.324815937859386450e-01,6.486119126181593211e-04
6.714748517296320642e+02,9.324822181264311727e-01,6.499541662150741528e-04
6.814422023814272507e+02,9.324828315908415544e-01,6.512867941791289795e-04
6.818915137476774362e+02,9.324834341791695680e-01,6.526097965103241265e-04
6.728227858283823934e+02,9.324840258914154356e-01,6.539231732086594855e-04
6.542360186235418951e+02,9.324846067275790462e-01,6.552269242741350563e-04
6.261312121331557137e+02,9.324851766876603998e-01,6.565210497067508390e-04
5.885083663572245314e+02,9.324857357716596074e-01,6.578055495065067253e-04
5.413674812957478935e+02,9.324862839795764469e-01,6.590804236734030402e-04
4.847085569487257999e+02,9.324868213114111404e-01,6.603456722074393503e-04
4.185315933161577959e+02,9.324873477671635769e-01,6.616012951086159806e-04
3.428365903980447911e+02,9.324878633468337563e-01,6.628472923769328229e-04
2.576235481943849663e+02,9.324883680504217898e-01,6.640836640123897686e-04
1.628924667051815049e+02,9.324888618779274552e-01,6.653104100149870347e-04
-1.186003520011111050e+02,9.324360809165643804e-01,7.061326250893494713e-04
3.695682885893916136e+00,9.324368307506765152e-01,7.075829773337851932e-04
1.164736784873533679e+02,9.324375697087063930e-01,7.090237039453611270e-04
2.197336348032674778e+02,9.324382977906540138e-01,7.104548049240772727e-04
3.134755518336362456e+02,9.324390149965193775e-01,7.118762802699336303e-04
3.976994295784597853e+02,9.324397213263025952e-01,7.132881299829300914e-04
4.724052680377376419e+02,9.324404167800034449e-01,7.146903540630668728e-04
5.375930672114700428e+02,9.324411013576221485e-01,7.160829525103438661e-04
5.932628270996569881e+02,9.324417750591585952e-01,7.174659253247609629e-04
6.394145477022989326e+02,9.324424378846127848e-01,7.188392725063183801e-04
6.760482290193951940e+02,9.324430898339848284e-01,7.202029940550159007e-04
7.031638710509459997e+02,9.324437309072745039e-01,7.215570899708537416e-04
7.207614737969513499e+02,9.324443611044820335e-01,7.229015602538317944e-04
7.288410372574107896e+02,9.324449804256073060e-01,7.242364049039499508e-04
7.274025614323252285e+02,9.324455888706504325e-01,7.255616239212083190e-04
7.164460463216944390e+02,9.324461864396111910e-01,7.268772173056070075e-04
6.959714919255181940e+02,9.324467731324898034e-01,7.281831850571457996e-04
6.659788982437962659e+02,9.324473489492860478e-01,7.294795271758248035e-04
6.264682652765291095e+02,9.324479138900002573e-01,7.307662436616440193e-04
5.774395930237164976e+02,9.324484679546320987e-01,7.320433345146034471e-04
5.188928814853588847e+02,9.324490111431816830e-01,7.333107997347030867e-04
4.508281306614553614e+02,9.324495434556491213e-01,7.345686393219429382e-04
3.732453405520068372e+02,9.324500648920343027e-01,7.358168532763230017e-04
2.861445111570110384e+02,9.324505754523372270e-01,7.370554415978432770e-04
1.895256424764720578e+02,9.324510751365578942e-01,7.382844042865037643e-04
-5.162643447455820933e+01,9.323981187744909693e-01,7.791214190100285205e-04
6.878181322111095142e+01,9.323988744653179950e-01,7.805739879405274636e-04
1.796720216312347702e+02,9.323996192800628746e-01,7.820169312381666186e-04
2.810441907558131334e+02,9.324003532187253862e-01,7.834502489029459855e-04
3.728983205948461546e+02,9.324010762813057518e-01,7.848739409348655643e-04
4.552344111483337201e+02,9.324017884678038603e-01,7.862880073339253550e-04
5.280524624162758300e+02,9.324024897782197119e-01,7.876924481001253576e-04
5.913524743986727117e+02,9.324031802125534174e-01,7.890872632334655721e-04
6.451344470955232282e+02,9.324038597708048659e-01,7.904724527339459985e-04
6.893983805068291986e+02,9.324045284529740574e-01,7.918480166015666368e-04
7.241442746325897133e+02,9.324051862590609918e-01,7.932139548363274870e-04
7.493721294728047724e+02,9.324058331890656692e-01,7.945702674382285492e-04
